run,seed,strategy,top_k,oracle_top10_overlap,affected_jobs_total,affected_job_minutes_total,affected_jobs_developer_window,affected_job_minutes_developer_window,p95_wait_seconds_developer_window,p99_wait_seconds_developer_window,minutes_avoided_total,percent_minutes_saved_total,minutes_avoided_developer_window,percent_minutes_saved_developer_window,affected_jobs_avoided_developer_window
6,20260626,model_exposure_dev,10,7,1986,1448.8902280599427,705,469.2889207753418,0.0,43.81487459042582,912.6959483880478,38.64758176052731,425.952695984906,47.5796352638708,460
6,20260626,oracle_impact_upper_bound,10,10,2016,1468.0827310013997,628,406.1271957244923,0.0,43.81487459042582,893.5034454465908,37.834886330105874,489.11442103575547,54.63490658597743,537
7,20260627,count,10,0,1991,1744.9472636921555,968,838.8439708820592,39.90708111733446,72.58339070071884,995.4793904995554,36.32570822418789,160.18537746703566,16.034101273575544,172
7,20260627,dev_weighted_count,10,0,1991,1744.9472636921555,968,838.8439708820592,39.90708111733446,72.58339070071884,995.4793904995554,36.32570822418789,160.18537746703566,16.034101273575544,172
7,20260627,recent_count,10,1,1992,1675.2606122250675,974,811.8657665168848,37.27417155541829,70.36791235522276,1065.1660419666434,38.86862070682984,187.16358183221007,18.734542898214112,166
7,20260627,peak_concurrency,10,1,2003,1674.3470199592343,923,768.5408735724315,37.27417155541829,70.36791235522276,1066.0796342324766,38.901958299150934,230.48847477666345,23.071241616429763,217
7,20260627,hybrid_count_concurrency_a0.5,10,0,1991,1744.9472636921555,968,838.8439708820592,39.90708111733446,72.58339070071884,995.4793904995554,36.32570822418789,160.18537746703566,16.034101273575544,172
7,20260627,count_x_pull_time,10,2,2004,1604.660368492146,929,741.5626692072567,36.538285424865265,57.82854276595749,1135.7662856995648,41.44487078179289,257.4666791418382,25.771683241068366,211
7,20260627,dev_weighted_count_x_pull_time,10,2,2004,1604.660368492146,929,741.5626692072567,36.538285424865265,57.82854276595749,1135.7662856995648,41.44487078179289,257.4666791418382,25.771683241068366,211
7,20260627,model_exposure_dev,10,5,1987,1565.9645373715387,800,585.1307596283931,33.3021171614244,49.72974044580806,1174.4621168201722,42.856907519262904,413.8985887207018,41.430073040864414,340
7,20260627,oracle_impact_upper_bound,10,10,2017,1704.6996915815166,601,451.38996742093957,0.0,48.60728981687086,1035.7269626101943,37.794369027390815,547.6393809281553,54.81714644651174,539
8,20260628,count,10,1,1986,1363.1340545991818,976,654.8412417147042,36.36275186501864,47.18946196502865,822.395016041856,37.629104416380024,141.93198620519695,17.81334779228617,188
8,20260628,dev_weighted_count,10,0,1983,1363.5730981879715,996,669.6571221318184,36.36275186501864,47.18946196502865,821.9559724530664,37.609015752509684,127.11610578808279,15.953862571404274,168
8,20260628,recent_count,10,0,1982,1380.8751233005682,997,677.5608099303279,38.01215818264051,47.18946196502865,804.6539473404696,36.81735274765558,119.21241798957328,14.96190055240631,167
